id,frame_position,frame_id,x_head,y_head,x_tail,y_tail
90,5600,0,55.50161812297735,79.77346278317152,43.203883495145625,28.964401294498384
89,5600,1,55.663430420711975,41.42394822006473,45.46925566343042,60.03236245954693
88,5600,2,59.186419769488786,82.26322543310289,,
87,5601,0,55.4976062478269,80.62398031506592,44.39808499826152,29.004520046002835
86,5601,1,55.50161812297735,41.58576051779935,44.66019417475729,60.03236245954693
85,5601,2,58.57605177993528,83.00970873786407,,
84,5602,0,54.53074433656958,80.2588996763754,44.66019417475729,28.640776699029125
83,5602,1,55.33980582524271,41.90938511326861,46.116504854368934,60.03236245954693
82,5602,2,57.76699029126213,82.52427184466019,,
81,5603,0,54.69255663430421,81.22977346278317,43.689320388349515,28.802588996763756
80,5603,1,55.663430420711975,42.394822006472495,46.27831715210356,60.35598705501618
79,5603,2,56.47249190938511,81.55339805825243,,
78,5604,0,54.0453074433657,81.3915857605178,44.336569579288025,28.155339805825243
77,5604,1,55.016181229773466,43.203883495145625,46.92556634304207,60.19417475728155
76,5604,2,56.148867313915865,81.3915857605178,40.29126213592233,25.88996763754045
75,5605,0,54.0453074433657,81.22977346278317,44.336569579288025,28.640776699029125
74,5605,1,54.53074433656958,43.36569579288026,46.601941747572816,60.35598705501618
73,5605,2,55.98705501618123,82.20064724919094,40.29126213592233,25.728155339805824
72,5606,0,53.55987055016181,80.58252427184466,45.14563106796117,28.478964401294498
71,5606,1,54.36893203883496,43.689320388349515,47.73462783171521,60.03236245954693
70,5606,2,55.016181229773466,81.55339805825243,40.1294498381877,25.40453074433657
69,5607,0,52.75080906148867,80.90614886731392,45.9546925566343,27.831715210355988
68,5607,1,54.0453074433657,44.1747572815534,48.22006472491909,60.19417475728155
67,5607,2,54.69255663430421,81.22977346278317,39.967637540453076,25.24271844660194
66,5608,0,53.23624595469255,79.93527508090615,47.0873786407767,27.993527508090615
65,5608,1,53.883495145631066,44.1747572815534,49.029126213592235,60.84142394822006
64,5608,2,54.69255663430421,81.06796116504856,39.967637540453076,24.59546925566343
63,5609,0,52.9126213592233,79.77346278317152,46.601941747572816,27.346278317152105
62,5609,1,54.0453074433657,44.1747572815534,48.70550161812297,60.84142394822006
61,5609,2,54.0453074433657,79.93527508090615,39.644012944983814,23.948220064724918
60,5610,0,52.42718446601942,79.77346278317152,47.249190938511326,27.346278317152105
59,5610,1,54.53074433656958,44.66019417475729,49.19093851132686,60.679611650485434
58,5610,2,54.0453074433657,79.77346278317152,39.80582524271845,24.271844660194176
57,5611,0,52.265372168284784,79.28802588996764,48.05825242718447,27.184466019417474
56,5611,1,54.36893203883495,46.116504854368934,50.323624595469255,61.326860841423944
31,5611,2,53.883495145631066,79.93527508090615,38.996763754045304,23.462783171521036
55,5612,0,52.42718446601942,79.12621359223301,48.70550161812297,27.02265372168285
54,5612,1,54.20711974110033,45.9546925566343,50.970873786407765,61.003236245954696
53,5612,2,51.94174757281553,79.77346278317154,39.15857605177994,23.300970873786408
52,5613,0,52.265372168284784,78.64077669902912,49.5145631067961,27.02265372168285
51,5613,1,53.55987055016181,46.601941747572816,51.29449838187702,61.326860841423944
50,5613,2,51.61812297734628,80.09708737864078,39.482200647249186,23.300970873786408
49,5614,0,52.103559870550164,78.47896440129449,49.35275080906149,26.375404530744333
48,5614,1,53.72168284789643,47.249190938511326,52.58899676375405,61.81229773462783
47,5614,2,51.7799352750809,79.93527508090615,39.15857605177994,22.97734627831715
46,5615,0,52.42718446601942,78.15533980582524,50.80906148867314,26.53721682847896
45,5615,1,53.55987055016181,48.22006472491909,52.75080906148867,62.45954692556634
44,5615,2,50.80906148867314,79.12621359223301,38.83495145631068,22.168284789644012
43,5616,0,52.265372168284784,78.64077669902912,51.45631067961165,26.051779935275082
42,5616,1,53.07443365695793,48.05825242718447,53.398058252427184,61.97411003236246
41,5616,2,50.161812297734635,78.47896440129449,38.996763754045304,21.35922330097087
40,5617,0,51.45631067961165,78.15533980582524,51.7799352750809,25.728155339805824
39,5617,1,53.07443365695793,48.381877022653725,53.398058252427184,61.97411003236246
38,5617,2,50.80906148867314,78.80258899676376,38.83495145631068,21.521035598705502
37,5618,0,51.94174757281553,77.831715210356,51.94174757281553,24.919093851132686
36,5618,1,52.9126213592233,48.54368932038835,54.36893203883495,62.13592233009708
35,5618,2,48.54368932038835,78.15533980582524,38.51132686084142,21.035598705501616
34,5619,0,51.7799352750809,77.831715210356,52.265372168284784,25.24271844660194
33,5619,1,53.398058252427184,49.35275080906149,54.69255663430421,62.62135922330098
32,5619,2,49.029126213592235,78.47896440129449,38.83495145631068,21.035598705501613
