frame_position,frame_id,pred_x_head,pred_y_head,pred_x_tail,pred_y_tail,real_x_head,real_y_head,real_x_tail,real_y_tail,head_distance,tail_distance,head_and_tail_losses
5600,0,111.056396484375,164.883056640625,78.6900634765625,60.2587890625,111.0032362459547,159.54692556634305,86.40776699029125,57.92880258899677,5.336395867330904,8.061748228053833,"tensor(212.1332, grad_fn=<DivBackward0>)"
5600,1,112.4239501953125,77.407470703125,80.7286376953125,113.9295654296875,111.32686084142397,82.84789644012946,90.93851132686083,120.06472491909386,5.5499402924964985,11.911410560157805,"tensor(212.1332, grad_fn=<DivBackward0>)"
5600,2,122.3468017578125,166.2354736328125,89.2528076171875,55.291748046875,118.3728395389776,164.52645086620578,,,4.325868067048208,,"tensor(212.1332, grad_fn=<DivBackward0>)"
5601,0,112.0213623046875,162.97509765625,78.40533447265625,63.7415771484375,110.9952124956538,161.24796063013184,88.79616999652303,58.00904009200567,2.008976290942272,11.8672424761364,"tensor(212.3064, grad_fn=<DivBackward0>)"
5601,1,114.02166748046876,75.722412109375,81.03985595703125,112.8311767578125,111.0032362459547,83.1715210355987,89.32038834951457,120.06472491909386,8.037421907069184,10.995064151906645,"tensor(212.3064, grad_fn=<DivBackward0>)"
5601,2,124.165771484375,165.7857666015625,90.458984375,60.5548095703125,117.15210355987055,166.01941747572815,,,7.01755872695205,,"tensor(212.3064, grad_fn=<DivBackward0>)"
5602,0,108.893310546875,163.7174072265625,79.494384765625,59.39013671875,109.06148867313917,160.5177993527508,89.32038834951457,57.28155339805825,3.2040247234238795,10.049699998055177,"tensor(211.2531, grad_fn=<DivBackward0>)"
5602,1,110.94232177734376,79.4847412109375,82.24859619140625,114.142578125,110.67961165048544,83.81877022653723,92.23300970873784,120.06472491909386,4.341983892049145,11.608631957981537,"tensor(211.2531, grad_fn=<DivBackward0>)"
5602,2,120.6273193359375,166.2449951171875,89.2255859375,55.5455322265625,115.53398058252426,165.04854368932038,,,5.231978180025826,,"tensor(211.2531, grad_fn=<DivBackward0>)"
5603,0,107.1572265625,164.2947998046875,79.979248046875,60.54931640625,109.38511326860842,162.45954692556634,87.37864077669904,57.60517799352752,2.886456704261668,7.963602436299854,"tensor(209.8493, grad_fn=<DivBackward0>)"
5603,1,109.6202392578125,80.5950927734375,83.1929931640625,114.184326171875,111.32686084142397,84.78964401294499,92.55663430420712,120.71197411003236,4.528445354699809,11.414375278828835,"tensor(209.8493, grad_fn=<DivBackward0>)"
